day,rob_count_0,rob_rebelled_0,trade_count_0,trade_accepted_0,0_obey_to,farm_count_0,rob_count_1,rob_rebelled_1,trade_count_1,trade_accepted_1,1_obey_to,farm_count_1,rob_count_2,rob_rebelled_2,trade_count_2,trade_accepted_2,2_obey_to,farm_count_2,rob_count_3,rob_rebelled_3,trade_count_3,trade_accepted_3,3_obey_to,farm_count_3,rob_count_4,rob_rebelled_4,trade_count_4,trade_accepted_4,4_obey_to,farm_count_4,rob_count_5,rob_rebelled_5,trade_count_5,trade_accepted_5,5_obey_to,farm_count_5,rob_count_6,rob_rebelled_6,trade_count_6,trade_accepted_6,6_obey_to,farm_count_6,rob_count_7,rob_rebelled_7,trade_count_7,trade_accepted_7,7_obey_to,farm_count_7,rob_count_8,rob_rebelled_8,trade_count_8,trade_accepted_8,8_obey_to,farm_count_8,rob_count_9,rob_rebelled_9,trade_count_9,trade_accepted_9,9_obey_to,farm_count_9,rob_count_10,rob_rebelled_10,trade_count_10,trade_accepted_10,10_obey_to,farm_count_10,rob_count_11,rob_rebelled_11,trade_count_11,trade_accepted_11,11_obey_to,farm_count_11,rob_count_12,rob_rebelled_12,trade_count_12,trade_accepted_12,12_obey_to,farm_count_12,rob_count_13,rob_rebelled_13,trade_count_13,trade_accepted_13,13_obey_to,farm_count_13,rob_count_14,rob_rebelled_14,trade_count_14,trade_accepted_14,14_obey_to,farm_count_14
11,7,6,1,0,-1,3,2,2,1,0,8,8,6,6,1,1,-1,4,5,4,2,1,-1,4,3,3,0,0,-1,8,7,6,1,0,-1,3,0,0,2,0,-1,9,6,6,1,1,-1,4,4,3,0,0,3,7,4,4,2,0,-1,5,0,0,4,2,-1,7,2,2,0,0,-1,9,2,2,0,0,-1,9,4,4,1,0,-1,6,4,4,1,0,-1,6
12,8,6,1,0,-1,3,2,2,1,0,8,9,6,6,1,1,0,5,5,4,2,1,-1,5,3,3,0,0,-1,9,7,6,1,0,-1,4,0,0,2,0,-1,10,7,7,1,1,-1,4,4,3,0,0,3,8,4,4,2,0,-1,6,0,0,4,2,-1,8,2,2,0,0,-1,10,2,2,0,0,-1,10,4,4,1,0,-1,7,5,5,1,0,-1,6
13,9,7,1,0,-1,3,2,2,1,0,8,10,6,6,1,1,0,6,6,5,2,1,-1,5,3,3,1,0,-1,9,7,6,1,0,-1,5,0,0,2,0,-1,11,7,7,2,1,-1,4,4,3,0,0,3,9,5,5,2,0,-1,6,1,1,4,2,-1,8,3,3,0,0,-1,10,2,2,0,0,-1,11,4,4,1,0,-1,8,5,5,2,0,-1,6
14,10,8,1,0,-1,3,2,2,1,0,8,11,6,6,1,1,0,7,7,6,2,1,-1,5,3,3,1,0,-1,10,8,7,1,0,-1,5,0,0,2,0,-1,12,8,8,2,1,-1,4,4,3,0,0,3,10,5,5,2,0,-1,7,1,1,4,2,-1,9,3,3,0,0,-1,11,2,2,0,0,-1,12,5,5,1,0,-1,8,5,5,2,0,-1,7
15,10,8,1,0,-1,4,2,2,1,0,8,12,6,6,1,1,0,8,8,7,2,1,-1,5,3,3,1,0,-1,11,9,7,1,0,-1,5,0,0,2,0,-1,13,8,8,2,1,-1,5,4,3,0,0,3,11,5,5,2,0,5,8,1,1,4,2,-1,10,3,3,0,0,-1,12,2,2,0,0,-1,13,5,5,1,0,-1,9,6,6,2,0,-1,7
16,11,9,1,0,-1,4,2,2,1,0,8,13,6,6,1,1,0,9,8,7,2,1,-1,6,3,3,1,0,-1,12,9,7,2,1,-1,5,0,0,2,0,-1,14,9,9,2,1,-1,5,4,3,0,0,3,12,5,5,2,0,5,9,1,1,4,2,-1,11,3,3,0,0,-1,13,2,2,0,0,-1,14,6,6,1,0,-1,9,6,6,2,0,-1,8
17,11,9,1,0,-1,5,2,2,1,0,8,14,6,6,1,1,0,10,9,8,2,1,-1,6,4,4,1,0,-1,12,9,7,2,1,-1,6,0,0,2,0,-1,15,9,9,2,1,-1,6,4,3,0,0,3,13,5,5,2,0,5,10,1,1,4,2,-1,12,3,3,0,0,-1,14,2,2,0,0,-1,15,6,6,1,0,-1,10,6,6,3,0,-1,8
18,12,10,1,0,5,5,3,2,1,0,8,14,6,6,1,1,0,11,10,9,2,1,-1,6,5,5,1,0,-1,12,10,7,2,1,-1,6,0,0,2,0,-1,16,10,10,2,1,11,6,4,3,0,0,3,14,5,5,2,0,5,11,2,2,4,2,-1,12,4,3,0,0,-1,14,2,2,0,0,-1,16,6,6,1,0,-1,11,7,7,3,0,-1,8
19,12,10,1,0,5,6,3,2,1,0,8,15,6,6,1,1,0,12,10,9,2,1,-1,7,6,6,1,0,-1,12,11,8,2,1,-1,6,0,0,2,0,-1,17,10,10,2,1,11,7,5,4,0,0,3,14,5,5,2,0,5,12,2,2,4,2,-1,13,5,4,0,0,-1,14,2,2,0,0,-1,17,6,6,1,0,-1,12,7,7,3,0,-1,9
20,12,10,1,0,5,7,3,2,1,0,8,16,6,6,1,1,0,13,10,9,3,1,-1,7,6,6,1,0,-1,13,11,8,3,2,-1,6,1,1,2,0,-1,17,10,10,2,1,11,8,5,4,1,0,3,14,5,5,2,0,5,13,3,3,4,2,-1,13,5,4,0,0,-1,15,2,2,0,0,-1,18,7,7,1,0,-1,12,7,7,3,0,-1,10
21,12,10,1,0,5,8,3,2,1,0,8,17,6,6,1,1,0,14,11,10,3,1,-1,7,6,6,1,0,-1,14,11,8,3,2,-1,7,1,1,3,1,-1,17,10,10,2,1,11,9,5,4,1,0,3,15,5,5,2,0,5,14,3,3,4,2,-1,14,6,5,0,0,-1,15,2,2,0,0,-1,19,8,8,1,0,-1,12,8,8,3,0,-1,10
22,12,10,1,0,5,9,3,2,1,0,8,18,6,6,1,1,0,15,12,11,3,1,-1,7,6,6,1,0,-1,15,12,9,3,2,-1,7,1,1,3,1,-1,18,10,10,2,1,11,10,5,4,1,0,3,16,5,5,2,0,5,15,3,3,4,2,-1,15,7,6,0,0,-1,15,3,3,0,0,-1,19,8,8,1,0,-1,13,8,8,3,0,-1,11
23,12,10,2,0,5,9,3,2,1,0,8,19,6,6,1,1,0,16,13,12,3,1,-1,7,6,6,1,0,-1,16,13,10,3,2,14,7,1,1,3,1,-1,19,10,10,3,1,11,10,5,4,1,0,3,17,5,5,3,1,5,15,4,4,4,2,-1,15,8,7,0,0,-1,15,3,3,0,0,-1,20,8,8,1,0,-1,14,9,8,3,0,-1,11
24,12,10,3,0,5,9,3,2,1,0,8,20,6,6,2,2,0,16,13,12,3,1,-1,8,6,6,1,0,-1,17,13,10,3,2,14,8,2,2,3,1,-1,19,10,10,3,1,11,11,5,4,1,0,3,18,5,5,3,1,5,16,4,4,4,2,-1,16,8,7,0,0,-1,16,3,3,0,0,-1,21,8,8,1,0,-1,15,9,8,3,0,-1,12
25,12,10,4,1,5,9,3,2,2,0,8,20,6,6,3,3,0,17,15,13,3,1,-1,8,6,6,1,0,-1,18,13,10,3,2,14,9,2,2,3,1,-1,20,10,10,3,1,11,12,5,4,1,0,3,20,5,5,3,1,5,17,5,5,4,2,-1,16,8,7,0,0,-1,17,4,4,0,0,-1,21,8,8,1,0,-1,16,9,8,3,0,3,13
26,12,10,4,1,5,10,3,2,2,0,8,21,6,6,3,3,0,18,16,14,3,1,-1,8,6,6,1,0,-1,19,13,10,3,2,14,10,2,2,3,1,-1,21,10,10,3,1,11,13,5,4,1,0,3,21,5,5,3,1,5,18,5,5,5,2,-1,16,8,7,0,0,-1,18,4,4,0,0,-1,22,8,8,1,0,-1,17,9,8,3,0,3,14
27,12,10,4,1,5,11,3,2,2,0,8,22,6,6,3,3,0,19,17,15,3,1,7,8,6,6,1,0,-1,20,13,10,4,2,14,10,2,2,3,1,-1,22,11,10,3,1,11,13,5,4,1,0,3,22,5,5,3,1,5,19,6,6,5,2,-1,16,8,7,0,0,-1,19,4,4,1,1,-1,22,8,8,1,0,-1,18,9,8,4,1,3,14
28,12,10,4,1,5,12,3,2,2,0,8,23,6,6,3,3,0,20,17,15,3,1,7,9,7,7,1,0,-1,20,13,10,4,2,14,11,2,2,3,1,11,23,11,10,3,1,11,14,5,4,1,0,3,23,5,5,3,1,5,20,6,6,5,2,-1,17,9,7,0,0,-1,19,4,4,1,1,-1,23,8,8,1,0,-1,19,9,8,4,1,3,15
29,12,10,5,1,5,12,3,2,2,0,8,24,6,6,3,3,0,21,17,15,3,1,7,10,7,7,1,0,8,21,13,10,4,2,14,12,2,2,3,1,11,24,11,10,3,1,11,15,6,4,1,0,3,23,5,5,3,1,5,21,7,7,5,2,-1,17,9,7,0,0,-1,20,4,4,1,1,-1,24,9,9,1,0,-1,19,9,8,4,1,3,16
30,12,10,5,1,5,13,3,2,2,0,8,25,6,6,3,3,0,22,17,15,3,1,7,11,7,7,1,0,8,22,13,10,4,2,14,13,2,2,4,2,11,24,11,10,3,1,11,16,6,4,1,0,3,24,5,5,3,1,5,22,8,8,5,2,-1,17,10,8,0,0,-1,20,4,4,2,2,-1,24,10,10,1,0,-1,19,9,8,4,1,3,17
31,12,10,6,1,5,13,3,2,2,0,8,26,6,6,3,3,0,23,17,15,3,1,7,12,7,7,1,0,8,23,13,10,5,3,14,13,2,2,4,2,11,25,11,10,3,1,11,17,6,4,1,0,3,25,5,5,3,1,5,23,8,8,5,2,-1,18,11,9,0,0,-1,20,4,4,3,3,-1,24,10,10,1,0,-1,20,9,8,4,1,3,18
32,12,10,6,1,5,14,3,2,2,0,8,27,6,6,4,4,0,23,17,15,3,1,7,13,7,7,1,0,8,24,13,10,5,3,14,14,2,2,4,2,11,26,11,10,3,1,11,18,6,4,1,0,3,26,5,5,3,1,5,24,9,9,5,2,-1,18,12,10,0,0,-1,20,4,4,4,3,-1,24,10,10,1,0,-1,21,9,8,4,1,3,19
33,12,10,6,1,5,15,4,2,2,0,8,27,6,6,4,4,0,24,17,15,3,1,7,14,7,7,1,0,8,25,13,10,5,3,14,15,2,2,4,2,11,27,11,10,4,2,11,18,6,4,2,0,3,26,5,5,3,1,5,25,9,9,5,2,-1,19,13,11,0,0,-1,20,4,4,4,3,-1,25,10,10,1,0,-1,22,9,8,4,1,3,20
34,12,10,6,1,5,16,4,2,2,0,8,28,6,6,4,4,0,25,17,15,3,1,7,15,7,7,2,1,8,25,13,10,5,3,14,16,2,2,4,2,11,28,11,10,4,2,11,19,6,4,3,0,3,26,5,5,3,1,5,26,10,10,5,2,-1,19,14,12,0,0,-1,20,4,4,4,3,-1,26,10,10,1,0,-1,23,9,8,4,1,3,21
35,12,10,6,1,5,17,4,2,2,0,8,29,6,6,4,4,0,26,17,15,3,1,7,16,7,7,2,1,8,26,13,10,5,3,14,17,2,2,4,2,11,29,11,10,4,2,11,20,6,4,3,0,3,27,5,5,3,1,5,27,11,11,5,2,-1,19,15,13,0,0,-1,20,4,4,4,3,-1,27,10,10,1,0,-1,24,9,8,4,1,3,22
36,12,10,6,1,5,18,4,2,2,0,8,30,6,6,4,4,0,27,17,15,3,1,7,17,7,7,2,1,8,27,13,10,5,3,14,18,2,2,4,2,11,30,11,10,4,2,11,21,6,4,3,0,3,28,5,5,3,1,5,28,12,11,5,2,-1,19,15,13,0,0,10,21,4,4,4,3,-1,28,11,11,1,0,-1,24,9,8,4,1,3,23
37,12,10,7,2,5,18,4,2,2,0,8,31,6,6,4,4,0,28,17,15,3,1,7,18,7,7,2,1,8,28,13,10,5,3,14,19,2,2,4,2,11,31,11,10,4,2,11,22,6,4,4,0,3,28,5,5,3,1,5,30,13,12,5,2,-1,19,15,13,1,0,10,21,5,5,4,3,-1,28,11,11,1,0,-1,25,9,8,4,1,3,24
38,12,10,7,2,5,19,4,2,2,0,8,32,6,6,4,4,0,29,17,15,3,1,7,19,7,7,3,1,8,29,13,10,5,3,14,21,2,2,5,3,11,32,11,10,4,2,11,23,6,4,5,0,3,29,5,5,5,2,5,30,14,12,5,2,13,20,15,13,1,0,10,22,6,5,4,3,-1,28,12,11,1,0,-1,25,9,8,4,1,3,25
39,12,10,7,2,5,20,4,2,2,0,8,33,6,6,4,4,0,30,17,15,3,1,7,21,7,7,4,2,8,30,13,10,5,3,14,23,2,2,5,3,11,33,11,10,5,2,11,24,6,4,5,0,3,31,5,5,5,2,5,32,14,12,5,2,13,22,15,13,1,0,10,23,6,5,4,3,-1,29,13,12,1,0,-1,25,9,8,4,1,3,26
40,12,10,7,2,5,21,4,2,2,0,8,34,6,6,4,4,0,31,17,15,3,1,7,22,7,7,4,2,8,32,13,10,5,3,14,25,2,2,6,4,11,34,11,10,5,2,11,25,6,4,5,0,3,33,5,5,7,2,5,32,14,12,5,2,13,23,15,13,1,0,10,24,6,5,5,4,-1,29,14,12,1,0,-1,25,9,8,4,1,3,27
41,12,10,7,2,5,22,4,2,2,0,8,35,6,6,4,4,0,32,17,15,3,1,7,23,7,7,5,2,8,32,13,10,5,3,14,26,2,2,6,4,11,35,11,10,5,2,11,26,6,4,5,0,3,34,5,5,7,2,5,33,14,12,5,2,13,24,15,13,1,0,10,25,6,5,6,5,-1,29,15,13,1,0,-1,25,9,8,4,1,3,28
42,12,10,8,2,5,22,4,2,2,0,8,36,6,6,4,4,0,33,17,15,4,2,7,23,7,7,5,2,8,33,13,10,5,3,14,27,2,2,6,4,11,36,11,10,5,2,11,27,6,4,6,1,3,34,5,5,7,2,5,34,14,12,5,2,13,25,15,13,1,0,10,26,7,6,6,5,-1,29,15,13,1,0,-1,26,9,8,5,1,3,28
43,12,10,8,2,5,23,4,2,2,0,8,37,6,6,4,4,0,34,17,15,4,2,7,24,7,7,5,2,8,34,13,10,5,3,14,28,2,2,6,4,11,37,11,10,5,2,11,28,6,4,6,1,3,35,5,5,7,2,5,35,14,12,6,2,13,25,15,13,1,0,10,27,7,6,7,6,-1,29,15,13,1,0,-1,27,9,8,5,1,3,29
44,12,10,8,2,5,24,4,2,3,0,8,37,6,6,4,4,0,35,17,15,4,2,7,25,7,7,5,2,8,35,13,10,5,3,14,29,3,2,6,4,11,37,11,10,5,2,11,29,6,4,6,1,3,36,5,5,8,2,5,35,14,12,6,2,13,26,15,13,1,0,10,28,7,6,8,6,-1,29,15,13,1,0,-1,28,9,8,5,1,3,30
45,12,10,8,2,5,25,4,2,4,0,8,37,6,6,4,4,0,36,17,15,4,2,7,26,7,7,5,2,8,36,13,10,5,3,14,30,3,2,7,5,11,37,11,10,5,2,11,30,6,4,6,1,3,37,5,5,8,2,5,36,14,12,6,2,13,27,15,13,1,0,10,29,8,7,8,6,-1,29,15,13,1,0,-1,29,9,8,5,1,3,31
46,12,10,9,2,5,25,4,2,4,0,8,38,6,6,5,4,0,36,17,15,5,3,7,26,7,7,5,2,8,37,13,10,5,3,14,31,3,2,7,5,11,38,11,10,5,2,11,31,6,4,6,1,3,38,5,5,8,2,5,37,14,12,6,2,13,28,15,13,1,0,10,30,9,8,8,6,-1,29,16,14,1,0,-1,29,9,8,5,1,3,32
47,12,10,9,2,5,26,4,2,4,0,8,39,6,6,5,4,0,37,17,15,5,3,7,27,7,7,5,2,8,38,13,10,5,3,14,32,3,2,7,5,11,39,11,10,5,2,11,32,6,4,6,1,3,39,5,5,8,2,5,38,14,12,7,2,13,28,15,13,1,0,10,31,10,9,8,6,-1,29,17,15,1,0,-1,29,9,8,5,1,3,33
48,12,10,10,2,5,26,4,2,4,0,8,40,6,6,6,4,0,37,17,15,5,3,7,28,7,7,5,2,8,39,13,10,5,3,14,33,3,2,7,5,11,40,11,10,6,2,11,32,6,4,6,1,3,40,5,5,8,2,5,39,14,12,7,2,13,29,15,13,1,0,10,32,10,9,8,6,-1,30,17,15,1,0,-1,30,9,8,5,1,3,34
49,12,10,10,2,5,27,4,2,4,0,8,41,6,6,6,4,0,38,17,15,5,3,7,29,7,7,5,2,8,40,13,10,5,3,14,34,3,2,7,5,11,41,11,10,6,2,11,33,6,4,6,1,3,41,6,5,8,2,5,39,14,12,7,2,13,30,15,13,1,0,10,33,10,9,9,7,-1,30,17,15,1,0,-1,31,9,8,5,1,3,35
50,12,10,10,2,5,28,4,2,4,0,8,42,6,6,6,4,0,39,17,15,5,3,7,30,7,7,5,2,8,41,14,10,5,3,14,34,3,2,7,5,11,42,11,10,6,2,11,34,6,4,6,1,3,42,6,5,8,2,5,40,14,12,7,2,13,31,15,13,1,0,10,34,11,10,9,7,-1,30,17,15,1,0,-1,32,9,8,5,1,3,36
51,12,10,11,2,5,28,4,2,4,0,8,43,6,6,6,4,0,40,17,15,5,3,7,31,7,7,5,2,8,42,14,10,5,3,14,35,3,2,7,5,11,43,11,10,6,2,11,35,6,4,6,1,3,43,6,5,8,2,5,41,14,12,7,2,13,32,15,13,1,0,10,35,11,10,9,7,13,31,18,15,1,0,-1,32,9,8,5,1,3,37
52,12,10,12,2,5,28,4,2,4,0,8,44,6,6,6,4,0,41,17,15,5,3,7,32,7,7,5,2,8,43,14,10,5,3,14,36,3,2,7,5,11,44,11,10,6,2,11,36,6,4,6,1,3,44,6,5,8,2,5,42,14,12,7,2,13,33,15,13,1,0,10,36,11,10,9,7,13,32,19,16,1,0,-1,32,9,8,5,1,3,38
53,12,10,12,2,5,29,4,2,5,0,8,44,6,6,6,4,0,42,17,15,5,3,7,33,7,7,5,2,8,44,14,10,5,3,14,37,3,2,8,6,11,44,11,10,6,2,11,37,6,4,6,1,3,45,6,5,8,2,5,43,14,12,7,2,13,34,15,13,1,0,10,37,11,10,9,7,13,33,20,17,1,0,-1,32,9,8,5,1,3,39
54,12,10,12,2,5,30,4,2,5,0,8,45,6,6,6,4,0,43,17,15,6,3,7,33,7,7,5,2,8,45,14,10,6,4,14,37,3,2,8,6,11,45,12,10,6,2,11,37,6,4,6,1,3,46,6,5,8,2,5,44,14,12,7,2,13,35,15,13,1,0,10,38,11,10,10,8,13,33,20,17,1,0,-1,33,9,8,5,1,3,40
55,12,10,12,2,5,31,4,2,6,1,8,45,6,6,6,4,0,44,17,15,7,4,7,33,7,7,5,2,8,46,14,10,7,4,14,37,3,2,8,6,11,46,12,10,6,2,11,38,6,4,7,1,3,46,6,5,8,2,5,45,14,12,8,2,13,35,15,13,1,0,10,39,11,10,10,8,13,34,20,17,2,0,-1,33,9,8,5,1,3,41
56,12,10,12,2,5,32,4,2,7,1,8,45,6,6,7,5,0,44,17,15,7,4,7,34,7,7,6,3,8,46,14,10,7,4,14,38,3,2,8,6,11,47,12,10,7,2,11,38,6,4,8,1,3,46,6,5,8,2,5,46,15,12,8,2,13,35,15,13,1,0,10,40,11,10,10,8,13,35,21,18,2,0,-1,33,9,8,5,1,3,42
57,12,10,12,2,5,33,4,2,7,1,8,46,6,6,7,5,0,45,17,15,7,4,7,35,7,7,6,3,8,47,14,10,7,4,14,39,3,2,8,6,11,48,12,10,7,2,11,39,6,4,8,1,3,47,6,5,8,2,5,47,15,12,8,2,13,36,15,13,2,1,10,40,11,10,10,8,13,36,22,18,2,0,-1,33,9,8,5,1,3,43
58,12,10,12,2,5,34,4,2,7,1,8,47,6,6,7,5,0,46,17,15,7,4,7,36,7,7,6,3,8,48,14,10,7,4,14,40,3,2,8,6,11,49,12,10,7,2,11,40,6,4,9,1,3,47,6,5,8,2,5,48,15,12,8,2,13,37,16,13,2,1,10,40,11,10,10,8,13,37,22,18,3,0,-1,33,9,8,6,1,3,43
59,12,10,12,2,5,35,4,2,7,1,8,48,6,6,7,5,0,47,17,15,7,4,7,37,7,7,6,3,8,49,14,10,7,4,14,41,3,2,8,6,11,50,12,10,8,2,11,40,6,4,9,1,3,48,6,5,8,2,5,49,15,12,8,2,13,38,16,13,2,1,10,41,11,10,10,8,13,38,23,19,3,0,-1,33,9,8,6,1,3,44
60,12,10,12,2,5,36,4,2,8,1,8,48,6,6,8,5,0,47,17,15,7,4,7,38,7,7,7,4,8,49,14,10,8,4,14,41,3,2,9,7,11,50,12,10,8,2,11,41,6,4,9,1,3,49,6,5,8,2,5,50,15,12,8,2,13,39,16,13,3,1,10,41,11,10,10,8,13,39,23,19,3,0,-1,34,9,8,6,1,3,45
