day,rob_count_0,rob_rebelled_0,trade_count_0,trade_accepted_0,0_obey_to,farm_count_0,rob_count_1,rob_rebelled_1,trade_count_1,trade_accepted_1,1_obey_to,farm_count_1,rob_count_2,rob_rebelled_2,trade_count_2,trade_accepted_2,2_obey_to,farm_count_2,rob_count_3,rob_rebelled_3,trade_count_3,trade_accepted_3,3_obey_to,farm_count_3,rob_count_4,rob_rebelled_4,trade_count_4,trade_accepted_4,4_obey_to,farm_count_4,rob_count_5,rob_rebelled_5,trade_count_5,trade_accepted_5,5_obey_to,farm_count_5,rob_count_6,rob_rebelled_6,trade_count_6,trade_accepted_6,6_obey_to,farm_count_6,rob_count_7,rob_rebelled_7,trade_count_7,trade_accepted_7,7_obey_to,farm_count_7,rob_count_8,rob_rebelled_8,trade_count_8,trade_accepted_8,8_obey_to,farm_count_8,rob_count_9,rob_rebelled_9,trade_count_9,trade_accepted_9,9_obey_to,farm_count_9,rob_count_10,rob_rebelled_10,trade_count_10,trade_accepted_10,10_obey_to,farm_count_10,rob_count_11,rob_rebelled_11,trade_count_11,trade_accepted_11,11_obey_to,farm_count_11,rob_count_12,rob_rebelled_12,trade_count_12,trade_accepted_12,12_obey_to,farm_count_12,rob_count_13,rob_rebelled_13,trade_count_13,trade_accepted_13,13_obey_to,farm_count_13,rob_count_14,rob_rebelled_14,trade_count_14,trade_accepted_14,14_obey_to,farm_count_14
11,4,4,1,1,-1,7,5,4,0,0,-1,7,2,2,2,1,7,9,7,7,3,0,-1,3,3,3,1,0,-1,8,1,1,1,0,11,10,2,2,3,1,-1,8,4,1,1,0,8,6,1,0,1,0,-1,9,4,4,0,0,-1,7,0,0,1,0,1,11,4,1,3,1,-1,5,1,1,1,1,-1,9,2,2,3,3,-1,6,1,1,2,0,-1,8
12,4,4,1,1,-1,8,6,5,0,0,-1,7,3,3,2,1,7,9,8,8,3,0,-1,3,3,3,2,1,-1,8,1,1,1,0,11,11,2,2,4,1,-1,8,4,1,1,0,8,7,1,0,1,0,-1,10,4,4,0,0,-1,8,0,0,1,0,1,12,4,1,3,1,-1,6,2,2,1,1,-1,9,2,2,3,3,-1,7,1,1,2,0,-1,9
13,4,4,1,1,-1,9,6,5,0,0,-1,8,3,3,2,1,7,10,8,8,3,0,-1,4,3,3,2,1,-1,9,1,1,1,0,11,12,2,2,4,1,-1,9,4,1,1,0,8,8,1,0,1,0,-1,11,4,4,1,1,-1,8,0,0,1,0,1,13,5,2,3,1,-1,6,2,2,1,1,-1,10,2,2,4,3,-1,7,2,2,2,0,-1,9
14,5,5,1,1,-1,9,7,6,1,0,-1,8,3,3,3,1,7,10,9,9,3,0,-1,4,3,3,3,1,-1,10,1,1,1,0,11,13,2,2,4,1,-1,10,4,1,1,0,8,9,2,1,1,0,-1,11,4,4,1,1,-1,9,0,0,1,0,1,14,5,2,3,1,-1,7,2,2,2,1,-1,11,2,2,4,3,-1,9,3,3,2,0,-1,10
15,6,6,1,1,-1,9,8,6,1,0,-1,8,3,3,3,1,7,11,9,9,3,0,-1,5,3,3,4,2,-1,11,1,1,1,0,11,14,2,2,4,1,-1,11,4,1,1,0,8,10,3,1,1,0,-1,11,4,4,1,1,-1,10,0,0,1,0,1,15,6,3,3,1,-1,7,2,2,2,1,-1,12,3,3,4,3,-1,9,3,3,2,0,-1,12
16,6,6,1,1,-1,10,9,6,1,0,-1,8,3,3,3,1,7,12,9,9,3,0,-1,6,3,3,4,2,-1,12,1,1,1,0,11,15,2,2,4,1,-1,12,4,1,1,0,8,11,3,1,1,0,-1,12,4,4,1,1,-1,11,0,0,1,0,1,16,6,3,3,1,1,8,2,2,2,1,-1,13,3,3,4,3,-1,10,3,3,2,0,-1,13
17,6,6,1,1,-1,11,9,6,1,0,-1,9,3,3,3,1,7,13,9,9,4,0,-1,6,3,3,4,2,-1,13,1,1,1,0,11,16,2,2,5,1,-1,12,4,1,1,0,8,12,3,1,1,0,-1,13,4,4,2,1,-1,11,0,0,1,0,1,17,6,3,4,1,1,8,2,2,2,1,-1,14,3,3,4,3,-1,11,3,3,3,1,-1,13
18,7,6,1,1,-1,11,9,6,1,0,0,10,3,3,3,1,7,14,9,9,4,0,-1,7,3,3,4,2,-1,14,1,1,1,0,11,17,2,2,5,1,-1,13,4,1,2,1,8,12,3,1,1,0,-1,14,4,4,2,1,-1,12,0,0,1,0,1,18,6,3,4,1,1,9,2,2,2,1,-1,15,4,4,4,3,-1,11,3,3,3,1,-1,14
19,8,6,1,1,-1,11,9,6,2,0,0,10,3,3,3,1,7,15,10,10,4,0,14,7,3,3,5,3,-1,14,1,1,1,0,11,18,2,2,5,1,-1,14,4,1,2,1,8,13,3,1,2,0,0,14,4,4,2,1,-1,13,0,0,1,0,1,19,6,3,4,1,1,10,2,2,2,1,-1,16,4,4,4,3,-1,12,4,3,3,1,-1,14
20,8,6,2,2,-1,11,9,6,2,0,0,11,3,3,4,2,7,16,10,10,4,0,14,8,3,3,5,3,-1,16,1,1,2,0,11,19,2,2,6,1,-1,14,4,1,3,1,8,13,3,1,2,0,0,15,4,4,2,1,-1,13,0,0,2,1,1,19,6,3,4,1,1,11,2,2,2,1,-1,17,4,4,4,3,-1,13,4,3,3,1,-1,15
21,9,6,2,2,-1,11,9,6,2,0,0,12,3,3,4,2,7,17,10,10,4,0,14,9,3,3,5,3,-1,17,1,1,2,0,11,20,3,3,6,1,-1,14,4,1,3,1,8,14,3,1,2,0,0,17,4,4,2,1,-1,14,0,0,3,2,1,19,6,3,5,2,1,11,2,2,2,1,-1,18,5,5,4,3,-1,13,4,3,3,1,-1,16
22,10,6,2,2,-1,11,9,6,3,0,0,12,3,3,4,2,7,18,10,10,4,0,14,10,3,3,5,3,-1,18,1,1,2,0,11,21,3,3,7,2,-1,15,4,1,3,1,8,15,3,1,2,0,0,18,4,4,3,2,-1,14,0,0,3,2,1,20,6,3,6,2,1,11,2,2,2,1,-1,19,5,5,5,3,-1,13,4,3,3,1,0,17
23,11,7,2,2,-1,11,9,6,3,0,0,13,3,3,4,2,7,19,11,11,4,0,14,10,3,3,5,3,-1,19,1,1,2,0,11,22,3,3,8,2,-1,15,4,1,3,1,8,16,3,1,2,0,0,19,4,4,4,2,-1,14,0,0,3,2,1,21,6,3,6,2,1,12,2,2,2,1,-1,20,6,6,5,3,-1,13,4,3,3,1,0,18
24,11,7,3,3,-1,11,9,6,3,0,0,14,3,3,4,2,7,20,11,11,4,0,14,11,3,3,6,3,-1,19,1,1,3,1,11,22,3,3,8,2,-1,16,4,1,3,1,8,17,3,1,3,1,0,19,4,4,4,2,-1,15,0,0,3,2,1,22,6,3,6,2,1,13,2,2,2,1,-1,21,6,6,6,4,-1,13,4,3,4,1,0,18
25,11,7,3,3,-1,12,9,6,3,0,0,15,3,3,4,2,7,21,11,11,4,0,14,12,3,3,7,3,-1,19,1,1,3,1,11,23,3,3,8,2,-1,17,4,1,3,1,8,18,3,1,3,1,0,20,4,4,5,2,-1,15,0,0,3,2,1,23,6,3,6,2,1,14,2,2,2,1,-1,22,6,6,6,4,-1,14,4,3,5,1,0,18
26,11,7,4,3,-1,12,9,6,3,0,0,16,3,3,4,2,7,22,11,11,4,0,14,13,3,3,8,3,-1,19,1,1,3,1,11,24,3,3,8,2,-1,18,4,1,3,1,8,19,3,1,3,1,0,21,4,4,5,2,-1,16,0,0,4,2,1,23,6,3,6,2,1,15,2,2,2,1,-1,23,7,7,6,4,-1,14,4,3,5,1,0,19
27,11,7,5,3,-1,12,9,6,3,0,0,17,3,3,4,2,7,23,11,11,4,0,14,14,3,3,8,3,-1,20,1,1,3,1,11,25,3,3,8,2,-1,19,4,1,4,1,8,19,3,1,3,1,0,22,4,4,5,2,-1,17,0,0,5,2,1,23,6,3,7,2,1,15,2,2,2,1,-1,24,7,7,6,4,-1,15,4,3,6,2,0,19
28,11,7,6,3,-1,12,9,6,3,0,0,18,3,3,5,3,7,23,11,11,5,1,14,14,3,3,8,3,-1,21,1,1,3,1,11,26,3,3,8,2,-1,20,4,1,5,1,8,19,3,1,3,1,0,23,4,4,5,2,13,18,0,0,5,2,1,24,6,3,7,2,1,16,2,2,2,1,-1,25,8,7,6,4,-1,15,4,3,7,2,0,19
29,11,7,7,3,-1,12,9,6,3,0,0,19,3,3,5,3,7,24,11,11,5,1,14,15,3,3,8,3,-1,22,1,1,4,1,11,26,3,3,9,3,-1,20,4,1,5,1,8,20,3,1,3,1,0,24,4,4,5,2,13,19,0,0,6,2,1,24,6,3,7,2,1,18,2,2,3,1,-1,25,10,9,6,4,-1,15,4,3,7,2,0,21
30,11,7,8,3,-1,12,9,6,3,0,0,20,3,3,5,3,7,25,11,11,5,1,14,16,4,4,8,3,-1,22,1,1,4,1,11,28,4,4,9,3,-1,20,4,1,5,1,8,21,3,1,4,1,0,25,4,4,5,2,13,21,0,0,6,3,1,25,6,3,8,2,1,18,2,2,3,1,-1,26,11,10,6,4,-1,15,5,3,7,2,0,21
31,12,8,8,3,-1,12,9,6,3,0,0,21,3,3,5,3,7,26,11,11,5,1,14,17,4,4,8,3,-1,23,1,1,4,1,11,29,4,4,9,3,-1,21,4,1,5,1,8,22,3,1,4,1,0,26,4,4,5,2,13,22,0,0,6,3,1,26,6,3,8,2,1,19,2,2,3,1,-1,27,11,10,6,4,-1,16,5,3,7,2,0,22
32,12,8,9,3,-1,12,9,6,3,0,0,22,3,3,5,3,7,27,11,11,5,1,14,18,4,4,8,3,-1,24,2,1,4,1,11,29,4,4,9,3,-1,22,4,1,5,1,8,23,3,1,5,2,0,26,4,4,6,2,13,22,0,0,6,3,1,27,6,3,8,2,1,20,2,2,3,1,-1,28,11,10,6,4,5,17,5,3,8,2,0,22
33,13,9,9,3,-1,12,9,6,3,0,0,23,3,3,6,3,7,27,11,11,5,1,14,19,4,4,9,3,-1,24,2,1,4,1,11,30,4,4,10,4,-1,22,4,1,5,1,8,24,3,1,5,2,0,27,4,4,6,2,13,23,0,0,7,3,1,27,6,3,8,2,1,21,2,2,3,1,-1,29,11,10,6,4,5,18,5,3,8,2,0,23
34,14,10,9,3,-1,12,9,6,3,0,0,24,3,3,6,3,7,28,11,11,5,1,14,20,4,4,9,3,-1,25,2,1,4,1,11,31,4,4,10,4,-1,23,4,1,5,1,8,25,3,1,6,2,0,27,4,4,7,2,13,23,0,0,7,3,1,28,6,3,9,2,1,21,2,2,3,1,-1,30,11,10,6,4,5,19,5,3,9,2,0,23
35,15,10,9,3,-1,12,9,6,3,0,0,25,3,3,6,3,7,29,11,11,5,1,14,21,4,4,9,3,-1,26,3,2,4,1,11,31,4,4,10,4,0,24,4,1,6,1,8,25,4,1,6,2,0,27,4,4,8,2,13,23,0,0,7,3,1,29,6,3,9,2,1,22,2,2,4,1,-1,30,11,10,6,4,5,20,5,3,9,2,0,24
36,15,10,9,3,-1,13,9,6,3,0,0,26,3,3,6,3,7,30,11,11,6,1,14,21,5,5,9,3,-1,26,3,2,5,2,11,31,4,4,10,4,0,25,4,1,6,1,8,26,4,1,7,2,0,27,4,4,8,2,13,24,0,0,7,3,1,30,6,3,9,2,1,23,3,3,4,1,-1,30,11,10,7,4,5,20,5,3,9,2,0,25
37,15,10,9,3,-1,14,9,6,4,0,0,26,3,3,6,3,7,31,11,11,6,1,14,22,5,5,9,3,-1,27,3,2,5,2,11,32,4,4,10,4,0,26,4,1,6,1,8,27,4,1,7,2,0,28,4,4,8,2,13,25,0,0,8,3,1,30,6,3,9,2,1,24,3,3,4,1,-1,31,11,10,8,4,5,20,5,3,10,2,0,25
38,15,10,10,4,-1,14,9,6,4,0,0,27,3,3,6,3,7,32,11,11,7,1,14,22,5,5,10,3,-1,27,3,2,5,2,11,33,4,4,10,4,0,27,4,1,6,1,8,28,4,1,7,2,0,29,4,4,8,2,13,26,0,0,8,3,1,31,6,3,9,2,1,25,3,3,4,1,-1,32,11,10,8,4,5,21,5,3,10,2,0,26
39,16,11,10,4,-1,14,9,6,4,0,0,28,3,3,6,3,7,33,11,11,8,1,14,22,5,5,10,3,-1,28,3,2,5,2,11,34,4,4,11,4,0,27,4,1,7,2,8,28,4,1,7,2,0,30,4,4,8,2,13,27,0,0,9,3,1,31,6,3,10,3,1,25,3,3,4,1,-1,33,11,10,8,4,5,22,5,3,11,2,0,26
40,17,12,10,4,-1,14,9,6,4,0,0,29,3,3,6,3,7,34,11,11,8,1,14,23,5,5,10,3,-1,29,4,2,5,2,11,34,4,4,11,4,0,28,4,1,7,2,8,29,4,1,7,2,0,31,4,4,8,2,13,28,0,0,9,3,1,32,6,3,10,3,1,26,3,3,4,1,-1,34,11,10,9,4,5,22,5,3,11,2,0,27
41,18,13,10,4,-1,14,9,6,4,0,0,30,3,3,7,3,7,34,11,11,8,1,14,24,6,6,10,3,-1,29,4,2,5,2,11,35,4,4,11,4,0,29,4,1,8,2,8,30,4,1,7,2,0,33,4,4,8,2,13,30,0,0,9,3,1,34,6,3,10,3,1,28,3,3,4,1,-1,35,11,10,9,4,5,23,5,3,11,2,0,28
42,19,14,10,4,-1,14,9,6,4,0,0,31,3,3,7,3,7,35,11,11,8,1,14,26,6,6,10,3,-1,30,4,2,7,2,11,35,4,4,12,4,0,30,4,1,8,2,8,31,4,1,8,2,0,34,4,4,8,2,13,31,0,0,9,3,1,35,6,3,11,3,1,28,3,3,5,1,-1,35,11,10,9,4,5,24,5,3,11,2,0,29
43,20,15,10,4,-1,14,10,6,4,0,0,31,3,3,7,3,7,36,11,11,8,1,14,27,7,7,10,3,-1,30,4,2,7,2,11,36,4,4,12,4,0,31,5,1,8,2,8,31,4,1,9,3,0,34,4,4,8,2,13,32,0,0,9,3,1,36,6,3,11,3,1,29,4,4,5,1,-1,35,11,10,10,4,5,24,5,3,11,2,0,30
44,20,15,11,4,-1,14,10,6,4,0,0,32,3,3,7,3,7,37,11,11,9,1,14,27,7,7,10,3,-1,31,4,2,7,2,11,37,4,4,12,4,0,32,5,1,8,2,8,32,4,1,9,3,0,35,4,4,8,2,13,33,0,0,9,3,1,37,6,3,11,3,1,30,4,4,5,1,-1,36,11,10,10,4,5,25,6,3,11,2,0,30
45,21,16,11,4,-1,14,10,6,5,0,0,32,3,3,7,3,7,38,11,11,9,1,14,28,7,7,10,3,-1,32,4,2,7,2,11,38,4,4,12,4,0,33,6,1,8,2,8,32,4,1,9,3,0,36,4,4,9,2,13,33,0,0,9,3,1,38,6,3,12,3,1,30,4,4,5,1,-1,37,11,10,10,4,5,26,6,3,11,2,0,31
46,22,16,11,4,-1,14,10,6,5,0,0,33,3,3,7,3,7,39,11,11,9,1,14,29,7,7,10,3,-1,33,4,2,7,2,11,39,4,4,13,4,0,33,6,1,8,2,8,33,4,1,9,3,0,37,4,4,9,2,13,34,0,0,9,3,1,39,6,3,12,3,1,31,4,4,5,1,-1,38,11,10,10,4,5,27,6,3,11,2,0,32
47,22,16,12,4,12,14,10,6,5,0,0,34,3,3,7,3,7,40,11,11,9,1,14,30,7,7,10,3,-1,34,4,2,7,2,11,40,4,4,13,4,0,34,6,1,9,2,8,33,4,1,9,3,0,38,4,4,10,2,13,34,0,0,9,3,1,40,6,3,12,3,1,32,5,4,5,1,-1,38,11,10,10,4,5,28,6,3,11,2,0,33
48,23,16,12,4,12,14,10,6,5,0,0,35,4,3,7,3,7,40,11,11,9,1,14,31,7,7,10,3,0,35,4,2,7,2,11,41,4,4,13,4,0,35,7,1,9,2,8,33,4,1,9,3,0,39,4,4,10,2,13,35,0,0,9,3,1,41,7,3,12,3,1,32,5,4,5,1,-1,39,11,10,10,4,5,29,6,3,11,2,0,34
49,23,16,12,4,12,15,10,6,5,0,0,36,4,3,7,3,7,41,11,11,9,1,14,32,7,7,10,3,0,36,5,2,7,2,11,41,4,4,13,4,0,36,7,1,10,2,8,33,4,1,9,3,0,40,4,4,10,2,13,36,0,0,9,3,1,42,7,3,12,3,1,33,5,4,5,1,-1,40,11,10,10,4,5,30,6,3,12,2,0,34
50,23,16,13,4,12,15,10,6,5,0,0,37,4,3,7,3,7,42,11,11,9,1,14,33,7,7,10,3,0,37,5,2,8,2,11,41,4,4,14,4,0,36,7,1,10,2,8,34,4,1,9,3,0,41,4,4,10,2,13,37,0,0,10,3,1,42,7,3,12,3,1,34,6,4,5,1,-1,40,11,10,10,4,5,31,6,3,12,2,0,35
51,23,16,13,4,12,16,10,6,6,0,0,37,4,3,7,3,7,43,11,11,9,1,14,34,7,7,10,3,0,38,5,2,8,2,11,42,4,4,15,4,0,36,7,1,10,2,8,35,4,1,9,3,0,42,4,4,10,2,13,38,0,0,10,3,1,43,7,3,12,3,1,35,6,4,5,1,-1,41,11,10,11,4,5,31,6,3,12,2,0,36
52,23,16,14,5,12,16,10,6,6,0,0,38,4,3,8,3,7,43,11,11,9,1,14,35,7,7,10,3,0,39,5,2,8,2,11,43,4,4,16,4,0,36,7,1,11,2,8,35,4,1,9,3,0,43,4,4,10,2,13,39,0,0,10,3,1,44,7,3,12,3,1,36,6,4,5,1,-1,42,11,10,11,4,5,32,6,3,12,2,0,37
53,23,16,14,5,12,17,10,6,6,0,0,39,4,3,8,3,7,44,11,11,9,1,14,36,7,7,10,3,0,40,6,2,8,2,11,43,4,4,16,4,0,37,7,1,12,2,8,35,4,1,9,3,0,44,4,4,10,2,13,40,0,0,11,3,1,44,7,3,13,3,1,36,7,4,5,1,-1,42,11,10,11,4,5,33,6,3,12,2,0,38
54,23,16,14,5,12,18,10,6,6,0,0,40,4,3,8,3,7,45,11,11,9,1,14,37,8,7,10,3,0,40,6,2,8,2,11,44,4,4,16,4,0,38,7,1,12,2,8,36,4,1,9,3,0,45,4,4,11,2,13,40,0,0,11,3,1,45,7,3,14,3,1,36,8,4,5,1,-1,42,11,10,11,4,5,34,6,3,12,2,0,39
55,23,16,14,5,12,19,10,6,6,0,0,41,4,3,8,3,7,46,11,11,9,1,14,38,8,7,10,3,0,41,6,2,8,2,11,45,4,4,17,4,0,38,7,1,12,2,8,37,4,1,9,3,0,46,4,4,11,2,13,41,0,0,11,3,1,46,7,3,14,3,1,37,9,4,5,1,-1,42,11,10,11,4,5,35,6,3,12,2,0,40
56,24,16,14,5,12,19,10,6,6,0,0,42,4,3,8,3,7,47,11,11,10,1,14,38,8,7,10,3,0,42,6,2,9,2,11,45,4,4,18,4,0,38,7,1,12,2,8,38,4,1,9,3,0,47,4,4,11,2,13,42,0,0,11,3,1,47,7,3,14,3,1,38,9,4,6,1,-1,42,11,10,11,4,5,36,6,3,13,2,0,40
57,24,16,15,5,12,19,10,6,6,0,0,43,4,3,8,3,7,48,11,11,10,1,14,39,8,7,10,3,0,43,6,2,9,2,11,46,4,4,18,4,0,39,7,1,12,2,8,39,4,1,9,3,0,48,4,4,11,2,13,43,0,0,12,3,1,47,7,3,14,3,1,39,10,4,6,1,-1,42,11,10,11,4,5,37,6,3,13,2,0,41
58,24,16,16,5,12,19,10,6,6,0,0,44,4,3,8,3,7,49,11,11,10,1,14,40,8,7,10,3,0,44,6,2,9,2,11,47,4,4,18,4,0,40,7,1,12,2,8,40,4,1,10,3,0,48,4,4,11,2,13,44,0,0,13,4,1,47,7,3,14,3,1,40,10,4,6,1,-1,43,11,10,11,4,5,38,6,3,13,2,0,42
59,24,16,16,5,12,20,10,6,6,0,0,45,4,3,8,3,7,50,11,11,10,1,14,41,8,7,11,3,0,44,6,2,9,2,11,48,4,4,18,4,0,41,7,1,13,2,8,40,4,1,10,3,0,49,4,4,11,2,13,45,0,0,14,4,1,47,7,3,14,3,1,41,11,4,6,1,-1,43,11,10,11,4,5,39,6,3,13,2,0,43
60,24,16,16,5,12,21,10,6,6,0,0,46,4,3,8,3,7,51,11,11,10,1,14,42,8,7,11,3,0,45,6,2,9,2,11,49,4,4,18,4,0,42,7,1,13,2,8,41,4,1,10,3,0,50,4,4,11,2,13,46,0,0,14,4,1,48,8,3,14,3,1,41,12,4,6,1,-1,43,11,10,11,4,5,40,6,3,14,2,0,43
